사업장명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업장면적,전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
왈왈애견카페,대구광역시,중구,"대구광역시 중구 북성로 77, 1층 (북성로2가)",,35.8742248061,128.5907408024,89.03,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페 봄봄,대구광역시,중구,"대구광역시 중구 큰장로26길 25, 서문시장 2지구 1층 동마-24-2호 (대신동)",,35.8688146731,128.5795313461,4.95,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
청솔로9 교동점,대구광역시,중구,"대구광역시 중구 동성로12길 43, 111호 (문화동)",,35.871341638,128.5982924643,51.87,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
그레이하우스(GREY/HAUS),대구광역시,중구,"대구광역시 중구 동성로3길 58-20, 1층 (삼덕동1가)",,35.8675990314,128.5989816382,9,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
스타벅스 대구동성로SK리더스,대구광역시,중구,"대구광역시 중구 공평로 36, 1층 101,102,103,104호 (삼덕동2가, 동성로 SK 리더스뷰)",,35.867809334,128.600255004,205,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
에이지트커피(Agit coffee),대구광역시,중구,"대구광역시 중구 동덕로 123-19, 대아하이츠 1층 (삼덕동2가)",,35.865794682,128.602057951,58.07,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
메가엠지씨커피 대구동성로중앙공원점,대구광역시,중구,"대구광역시 중구 동성로6길 19, 1층 (공평동)",,35.8690175602,128.5965535329,21.78,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
킨수.(keensu.),대구광역시,중구,"대구광역시 중구 국채보상로150길 76-12, 2층 (삼덕동3가)",,35.8652994698,128.61004661,98.23,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
노브랜드버거 대구중앙로점,대구광역시,중구,"대구광역시 중구 중앙대로 390, 센트럴엠 1층 102호 (동성로3가)",,35.8677661496,128.5939001391,67.4,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
컴포즈커피 대구동성로중앙제일점,대구광역시,중구,"대구광역시 중구 중앙대로 394, 1층 (남일동)",,35.8683261441,128.5939730227,17.65,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
핸즈커피 북성로,대구광역시,중구,"대구광역시 중구 북성로 81-1, 1층 (북성로1가)",,35.874349017,128.591321815,180,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
라온 동네빵빵빵,대구광역시,중구,"대구광역시 중구 태평로 56, 1층 24~25호 (도원동, 도원아파트)",,35.8766040011,128.5839093347,41.98,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
더커피 더현대 대구점,대구광역시,중구,"대구광역시 중구 달구벌대로 2077, 현대백화점 지하1층 (계산동2가)",,35.8666296004,128.5906257186,88.65,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페시교사,대구광역시,중구,"대구광역시 중구 공평로 83, 1층 (동문동)",,35.8715851879,128.6004803545,53,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
약령다원,대구광역시,중구,"대구광역시 중구 남성로 14, 1층 (남성로)",,35.8684831717,128.588500668,80,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
이너프(enough),대구광역시,중구,"대구광역시 중구 달구벌대로446길 18, 1층 (대봉동)",,35.8615947697,128.6056787347,29.7,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
컴포즈커피 대구교동점,대구광역시,중구,"대구광역시 중구 국채보상로123길 16, 1층 (문화동)",,35.8714229903,128.5976167361,20,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
몽땅내커피,대구광역시,중구,"대구광역시 중구 동성로2길 80, 2.28 기념중앙공원 (공평동)",,35.8692143709,128.5971837867,8.67,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
산도리,대구광역시,중구,"대구광역시 중구 국채보상로 553, 1층 (종로1가)",,35.8707925642,128.5912485649,33.05,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
수페르바,대구광역시,중구,"대구광역시 중구 서성로 4, 1층 (계산동2가)",,35.8670162636,128.587500677,22.91,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
